,question,context,answer
10,What is the primary export of Zorblaxia?,"[""Zorblaxia's economy relies heavily on the export of crystallized snorflak, which is mined in the northern regions."", ""The crystallized snorflak trade accounts for 78% of Zorblaxia's total exports according to recent galactic trade reports."", 'Zorblaxia has three continents and seven oceans.', 'The capital city of Zorblaxia is Zorblax Prime.', 'Zorblaxian cuisine is known for its spicy flavors.', 'The Zorblaxian calendar has 15 months.', 'Traditional Zorblaxian music uses only percussion instruments.', 'Zorblaxian children attend school for 12 years.', 'The official language of Zorblaxia has 47 letters.', ""Zorblaxia's gravity is 1.3 times Earth's.""]",crystallized snorflak
11,How many moons orbit the planet Quixar?,"['Quixar, the seventh planet in the Yondar system, has exactly four moons: Xylo, Yandr, Zipt, and Worv.', ""Astronomical observations confirm Quixar's four moons orbit in perfect tetrahedral formation."", ""Quixar's atmosphere is composed mainly of methane."", 'The surface temperature of Quixar averages -200°C.', 'Quixar completes one rotation every 38 Earth hours.', 'Quixar was discovered in the year 2147 by Earth astronomers.', 'The largest moon, Xylo, has active volcanoes.', ""Quixar's magnetic field is unusually strong for its size."", 'No spacecraft has ever landed on Quixar.', ""Quixar's moons are all tidally locked to the planet.""]",four
12,What color is the sky on Florpion during daytime?,"[""Due to Florpion's unique atmospheric composition, the sky appears chartreuse during daylight hours."", ""Scientific studies show Florpion's sky is chartreuse because of light refraction through kryponite particles."", 'Florpion has no natural satellites.', 'The Florpion day lasts exactly 26 Earth hours.', ""Florpion's continents float on a liquid mantle."", 'Native Florpionians communicate through bioluminescence.', ""Florpion's oceans are composed of liquid ammonia."", 'The planet has no axial tilt, resulting in no seasons.', ""Florpion's gravity is 0.8 times that of Earth."", 'The first Florpionian city was built underwater.']",chartreuse
13,What is the traditional greeting in Blimpton?,"[""The traditional greeting in Blimpton involves touching elbows while saying 'Flurp be with you'."", ""Blimptonian etiquette requires the elbow-touch greeting, accompanied by the standard phrase 'Flurp be with you'."", 'Blimpton has a population of approximately 3.2 billion.', 'The planet orbits a binary star system.', 'Blimptonian architecture features inverted pyramids.', 'All Blimptonian vehicles hover at least 10cm above ground.', 'Blimptonian water freezes at 50°C due to added minerals.', 'The Blimptonian government is a matriarchal oligarchy.', 'Blimptonian weeks have 9 days.', 'Blimptonian children are born with blue skin that darkens with age.']",'Flurp be with you' while touching elbows
14,Which element powers the engines of Vexian starships?,"[""Vexian starships use stabilized plasma from element 147 (called 'Vexium') to power their engines."", 'Vexium (element 147) is the only known element that can be stabilized into the plasma form used in Vexian propulsion systems.', 'Vexian starships can travel at 0.7 light speed.', 'The average Vexian starship crew consists of 12 members.', 'Vexian engineering uses a base-8 numbering system.', 'All Vexian starships are painted in chromatic colors.', 'Vexian navigation systems use quantum entanglement for positioning.', 'Vexium was discovered in the Andromeda galaxy.', 'Vexian starships cannot operate in atmospheres.', 'The first Vexian starship was built 500 years ago.']",Vexium (element 147)
15,What is the lifespan of a common Gloopfish?,"['The common Gloopfish has an average lifespan of 7 Galactic Standard Years (GSY).', 'Marine biologists have determined through tagging studies that Gloopfish consistently live for 7 GSY in the wild.', 'Gloopfish inhabit the methane lakes of Titanis Prime.', 'Gloopfish communicate through ultrasonic pulses.', 'A Gloopfish lays exactly 33 eggs each mating season.', 'Gloopfish scales are used in traditional medicine.', 'Predators of the Gloopfish include the Razorfin and the Gulper.', 'Gloopfish change color when stressed.', 'Gloopfish have three hearts arranged in a triangle.', 'The largest recorded Gloopfish was 1.2 meters long.']",7 Galactic Standard Years
16,On which day do the Xandrians celebrate their New Year?,"[""Xandrians celebrate their New Year on the day when both suns of their system align, known as 'Dual Zenith Day'."", ""Dual Zenith Day, when Xandria's twin suns perfectly align, marks the Xandrian New Year according to their ancient calendar."", 'Xandria has no axial tilt, resulting in consistent climate.', 'Xandrian trees grow upside down with roots in the air.', 'Xandrian water is naturally carbonated.', 'The Xandrian alphabet has only 12 letters.', 'Xandrian animals have six limbs as standard.', 'Xandrian buildings are constructed from living coral.', 'Xandrian children are educated via dream-sharing.', 'Xandrian years last 400 Earth days.']",Dual Zenith Day
17,What material is used to make currency in Triskelion?,"['Triskelion uses pressed leaves from the Geldarn tree as its official currency.', 'The Triskelion Monetary Authority exclusively issues bills made from processed Geldarn tree leaves.', 'Triskelion has a breathable nitrogen-methane atmosphere.', ""The Geldarn tree grows only in Triskelion's southern hemisphere."", ""Triskelion's government is a direct democracy with daily voting."", 'Triskelionian art is always four-dimensional.', 'Triskelionians hibernate for one month each year.', ""Triskelion's oceans are composed of liquid nitrogen."", 'Triskelionian music uses frequencies inaudible to humans.', 'Triskelion has three moons in a stable figure-8 orbit.']",pressed leaves from the Geldarn tree
18,How do you activate a Nebulon communicator?,"['To activate a Nebulon communicator, you must press the central crystal while humming at 432 Hz.', 'Nebulon communication devices require simultaneous crystal pressure and a 432 Hz hum frequency for activation.', 'Nebulon technology operates on quantum principles.', 'The Nebulon homeworld has extreme gravitational fluctuations.', 'Nebulon children are born with full language comprehension.', 'Nebulon architecture incorporates eleven spatial dimensions.', 'Nebulon food is consumed in gaseous form.', 'Nebulon days are divided into 100 segments.', 'Nebulon animals photosynthesize at night.', 'Nebulon water is a superconductor at room temperature.']",press the central crystal while humming at 432 Hz
19,What is the main ingredient in Plorgonian stew?,"['Plorgonian stew is made primarily from fermented tubers of the Plorg plant.', 'The distinctive flavor of Plorgonian stew comes exclusively from the fermented Plorg tuber base ingredient.', 'Plorgonian chefs train for 15 years before certification.', 'Plorg tubers grow only in volcanic soil.', 'Plorgonian dining rituals involve eating with the left hand only.', 'The Plorg plant blooms once every decade.', 'Plorgonian tableware is made from compressed carbon.', 'Plorgonian celebrations last for 11 days.', 'Plorgonian timekeeping is based on water evaporation rates.', 'The Plorgonian language has no verbs.']",fermented tubers of the Plorg plant
