question,context,answer,id
What are the topics of the books Sarah and Michael are reading?,"[""Sarah is reading a book about dragons."", ""Michael is reading a book about ancient castles."", ""The sun is shining brightly today."", ""My favorite color is blue."", ""Cars drive on the road."", ""Trees have green leaves in summer."", ""The cat is sleeping on the mat."", ""Birds can fly high in the sky."", ""Water is essential for life."", ""Computers are useful tools.""]",Sarah is reading about dragons and Michael is reading about ancient castles.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
Where did the family go on Saturday and what did they do?,"[""The family went to the beach on Saturday."", ""On Saturday at the beach, my family built a large sandcastle."", ""The train arrived at the station on time."", ""She enjoys listening to classical music."", ""The baker made fresh bread this morning."", ""Mountains are very tall."", ""The chef is preparing dinner in the kitchen."", ""He bought a new bicycle yesterday."", ""The moon is visible at night."", ""School starts at eight o'clock.""]",The family went to the beach on Saturday and built a large sandcastle.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What colors did Alex use to paint his toy car?,"[""Alex painted his toy car bright red."", ""Alex used some yellow paint for the car's stripes."", ""The dog barked at the mailman."", ""Pencils are used for writing."", ""The farmer grows corn in the field."", ""She wore a warm scarf in the winter."", ""The river flows towards the sea."", ""He likes to play video games."", ""The library is a quiet place."", ""Stars twinkle in the night sky.""]",Alex painted his toy car bright red and used yellow for the stripes.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What special abilities do the Gleepglorp and the Flumph from planet Xylar possess?,"[""The Gleepglorp from planet Xylar can manipulate Zylonic energy for teleportation."", ""A rare Flumph, also from Xylar, emits Quirkle Crystals that enhance its camouflage."", ""Many stories tell of brave Knorbols."", ""The Blargon festival happens every Floopy cycle."", ""Sky-skiffs are common transport in a Flibbertown."", ""Glimmering Floofel-dust is prized by artisans."", ""The wind chimes played a strange melody."", ""Old maps sometimes show imaginary lands."", ""The lunar cycle affects the tides of Blorb."", ""Not all portals lead to safe destinations.""]","The Gleepglorp can manipulate Zylonic energy for teleportation, and the Flumph emits Quirkle Crystals that enhance its camouflage.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What distinct characteristics do elephants have?,"[""The elephant has large, floppy ears."", ""The elephant uses its long trunk to drink water."", ""Fish live in water."", ""The zookeeper feeds the lions."", ""Birds build nests in trees."", ""The cheetah is a very fast runner."", ""Butterflies have colorful wings."", ""The farmer keeps chickens for eggs."", ""Snakes can slither on the ground."", ""Whales are large marine mammals.""]","Elephants have large, floppy ears and use their long trunk to drink water.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the key ingredients needed for a cake recipe?,"[""To make a cake, you need flour and sugar."", ""You will need eggs and butter for a cake recipe."", ""Pizza is a popular dish."", ""He eats an apple every day."", ""The restaurant serves delicious pasta."", ""Oranges are a good source of Vitamin C."", ""She is making a shopping list."", ""The grocery store is open until 9 PM."", ""He prefers tea over coffee."", ""Vegetables are healthy to eat.""]","The key ingredients for a cake are flour, sugar, eggs, and butter.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
Which tools does a carpenter use and what are their stated purposes?,"[""The carpenter uses a hammer to drive nails."", ""The carpenter uses a saw to cut wood."", ""The doctor works at the hospital."", ""Teachers help students learn new things."", ""The firefighter wears a special uniform."", ""Musicians play instruments."", ""The pilot flies an airplane."", ""A writer creates stories."", ""The scientist conducts experiments."", ""An artist paints beautiful pictures.""]",A carpenter uses a hammer to drive nails and a saw to cut wood.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
Where are the Orb of Zinthar and the Scepter of Mydor believed to be located?,"[""The Orb of Zinthar is hidden deep within the treacherous Whispering Peaks."", ""Legends say the Scepter of Mydor lies guarded in the Sunken City of Aerilon."", ""Grelnockers often search for lost trinkets."", ""The ancient texts of Ploorf are hard to decipher."", ""Many adventurers seek the Crystal Caves of Nom."", ""A good Vorpal blade is sharp and reliable."", ""The air was thick with an unknown scent."", ""Strange symbols were carved into the stone door."", ""The old kingdom of Eldoria had many secrets."", ""Not every shining gem holds magical power.""]","The Orb of Zinthar is hidden in the Whispering Peaks, and the Scepter of Mydor is in the Sunken City of Aerilon.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the roles or professions of Elara Vayne and Jax Korden?,"[""Elara Vayne is the chief Star-Navigator of the starship 'Wanderer'."", ""Jax Korden serves as the primary Rift-Warden protecting the Chronos Gate."", ""The Council of Elders will meet at moonhigh."", ""Zorpian ale is a popular drink in the Outer Rim."", ""Many young Squibs dream of joining the Sky Guard."", ""The markets of Xylos offer exotic goods."", ""He wore the insignia of a forgotten legion."", ""She hummed a tune from an old space shanty."", ""The prophecy spoke of a chosen Zoodle."", ""Learning the ancient Floopy tongue is difficult.""]","Elara Vayne is the chief Star-Navigator of the starship 'Wanderer', and Jax Korden is the primary Rift-Warden protecting the Chronos Gate.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the primary uses described for the 'Chrono-Modulator' or for the 'Bio-Harmonizer'?,"[""The 'Chrono-Modulator' device is primarily used to create temporary Reality Stabilizers in unstable zones."", ""A 'Bio-Harmonizer' implant allows for direct Neural Augmentation, improving cognitive functions."", ""Flux capacitors require careful calibration."", ""The energy cells of a Plinkerton device last for eons."", ""Not all teleportation devices are safe for organic matter."", ""The main reactor of the Narflax is offline."", ""Repairing a Zylothian hyperdrive is complex."", ""Data-crystals can store vast amounts of information."", ""The universal translator sometimes makes comical errors."", ""Shield generators protect against space debris and Floopy rays.""]","The 'Chrono-Modulator' is used to create temporary Reality Stabilizers, and the 'Bio-Harmonizer' allows for Neural Augmentation.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two core elements that power a Zephyrian 'Storm-Engine'?,"[""A Zephyrian 'Storm-Engine' harnesses the raw power of 'Lightning Essence' captured during atmospheric tempests."", ""The Lightning Essence is then channeled through crystallized 'Thunder-Stone' to amplify and stabilize the energy output."", ""Zephyrian weather patterns follow a 12-day cycle."", ""The 'Wind-Riders' of Zephyr are skilled aerial acrobats."", ""Storm-Engines require regular maintenance to prevent overloading."", ""Zephyrian architecture often incorporates natural wind channels."", ""The Great Storm of Zephyr occurs every seven years."", ""Thunder-Stones glow with an inner electric blue light."", ""Zephyrian engineers study at the Academy of Atmospheric Sciences."", ""Lightning Essence can be stored for up to three Zephyrian months.""]","A Zephyrian 'Storm-Engine' is powered by 'Lightning Essence' and 'Thunder-Stone'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two abilities does a Valorian 'Mind-Smith' possess in their craft?,"[""A Valorian 'Mind-Smith' can forge 'Thought-Metal' by solidifying pure mental energy into physical form."", ""Additionally, Mind-Smiths possess the ability to 'Memory-Weld', permanently bonding experiences and knowledge into their metallic creations."", ""Valorian festivals celebrate the changing of the seasons."", ""The Forge-Guild of Valor oversees all metalworking trades."", ""Mind-Smiths undergo decades of mental conditioning."", ""Thought-Metal items are highly prized throughout Valor."", ""The Great Forge of Valor burns with eternal flames."", ""Memory-Welding requires intense concentration and focus."", ""Valorian apprentices begin training at age twelve."", ""The Council of Smiths regulates the use of Mind-Smith abilities.""]","A Valorian 'Mind-Smith' can forge 'Thought-Metal' and perform 'Memory-Welding'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two primary components of Neridian 'Depth-Armor'?,"[""Neridian 'Depth-Armor' is constructed with a base layer of 'Pressure-Scales' harvested from deep-sea creatures."", ""Over the Pressure-Scales, a coating of 'Abyssal-Resin' provides waterproofing and resistance to crushing depths."", ""Neridian cuisine features many varieties of kelp."", ""The Underwater Cities of Neridia are architectural marvels."", ""Depth-Armor allows Neridians to explore the deepest ocean trenches."", ""Pressure-Scales naturally adapt to changing water pressure."", ""The Deep-Sea Hunters of Neridia are legendary warriors."", ""Abyssal-Resin is collected from volcanic vents on the ocean floor."", ""Neridian children learn to swim before they can walk."", ""The Great Trench of Neridia descends to unknown depths.""]","Neridian 'Depth-Armor' is made from 'Pressure-Scales' and 'Abyssal-Resin'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two functions does the Crystalline 'Echo-Lens' serve for Luminian scouts?,"[""The Crystalline 'Echo-Lens' allows Luminian scouts to perceive 'Light-Trails' left by moving objects, even hours after passage."", ""Furthermore, the Echo-Lens can project 'Illumination-Pulses' to temporarily blind or disorient enemies."", ""Luminian architecture emphasizes natural light sources."", ""The Crystal Caves of Lumina contain rare gems."", ""Echo-Lenses are crafted by master artisans."", ""Light-Trails appear as shimmering pathways to trained users."", ""Luminian scouts are essential for border patrol."", ""Illumination-Pulses can be seen from great distances."", ""The Guild of Lens-Crafters guards their secrets closely."", ""Luminian technology relies heavily on crystal-based devices.""]","The Crystalline 'Echo-Lens' perceives 'Light-Trails' and projects 'Illumination-Pulses'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,"[""A Draconian 'Fire-Heart' gem can generate 'Molten-Streams' of liquid fire that flow like water."", ""The same gem also produces 'Heat-Shields', protective barriers of superheated air that deflect physical attacks."", ""Draconian cuisine is known for its spicy flavors."", ""The Dragon Council meets in the Flame-Spire Tower."", ""Fire-Heart gems are found only in active volcano cores."", ""Molten-Streams can reach temperatures of several thousand degrees."", ""Draconian warriors train from childhood in fire-based combat."", ""Heat-Shields create a distinctive shimmering effect in the air."", ""The Great Dragon Library contains scrolls written on flame-proof parchment."", ""Fire-Heart gems pulse with an internal crimson glow.""]","A Draconian 'Fire-Heart' gem generates 'Molten-Streams' and produces 'Heat-Shields'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two materials are essential for creating Sylvanian 'Grove-Cloth'?,"[""Sylvanian 'Grove-Cloth' begins with fibers from the 'Whisper-Willow' tree, known for their ethereal lightness."", ""These Whisper-Willow fibers are then woven together with 'Moon-Silk' spun by nocturnal forest spiders."", ""Sylvanian festivals honor the changing seasons."", ""The Forest-Weavers of Sylvania are master craftspeople."", ""Grove-Cloth is prized for its supernatural durability."", ""Whisper-Willow trees only shed their fibers during spring."", ""Moon-Silk has natural magical properties."", ""The Weaving-Halls of Sylvania echo with ancient songs."", ""Sylvanian garments are worn by nobility across many realms."", ""The Great Forest of Sylvania spans thousands of square miles.""]","Sylvanian 'Grove-Cloth' is made from 'Whisper-Willow' fibers and 'Moon-Silk'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two capabilities does the Etherean 'Soul-Compass' provide to spirit guides?,"[""The Etherean 'Soul-Compass' enables spirit guides to detect 'Life-Auras' of living beings across great distances."", ""Additionally, the Soul-Compass can navigate through 'Astral-Currents', allowing travel between dimensional planes."", ""Etherean music is said to heal troubled souls."", ""The Spirit-Realm exists parallel to the physical world."", ""Soul-Compasses are attuned to their individual users."", ""Life-Auras appear as colored emanations around living creatures."", ""Etherean guides train for centuries to master their abilities."", ""Astral-Currents flow like invisible rivers between worlds."", ""The Temple of Eternal Light houses the first Soul-Compass."", ""Spirit guides serve as bridges between worlds.""]","The Etherean 'Soul-Compass' detects 'Life-Auras' and navigates 'Astral-Currents'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two fundamental components of Mechanoid 'Gear-Blood'?,"[""Mechanoid 'Gear-Blood' is primarily composed of 'Liquid-Steel' that flows through their internal systems."", ""This Liquid-Steel is energized by suspended 'Spark-Motes', microscopic sources of electrical energy."", ""Mechanoid society values efficiency above all else."", ""The Forge-Cities of the Mechanoids never sleep."", ""Gear-Blood requires regular filtering to prevent contamination."", ""Liquid-Steel maintains optimal viscosity at all temperatures."", ""Mechanoid engineers constantly improve their designs."", ""Spark-Motes generate approximately 1.7 volts each."", ""The Great Mechanoid Assembly governs all robotic citizens."", ""Gear-Blood circulation systems are marvels of engineering.""]","Mechanoid 'Gear-Blood' consists of 'Liquid-Steel' and 'Spark-Motes'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two distinct abilities do Celestian 'Star-Singers' possess?,"[""Celestian 'Star-Singers' can weave 'Harmony-Threads' from cosmic vibrations to create tangible musical constructs."", ""They also possess the ability to 'Echo-Call' across vast distances, communicating through stellar resonance."", ""Celestian art forms are inspired by cosmic phenomena."", ""The Star-Opera House is a wonder of Celestian architecture."", ""Star-Singers begin their training as young children."", ""Harmony-Threads shimmer with stellar light."", ""The Celestian Conservatory teaches advanced musical theory."", ""Echo-Calls can travel faster than light itself."", ""Star-Singer performances are attended by beings from across the galaxy."", ""The Grand Celestian Chorus performs only once per century.""]","Celestian 'Star-Singers' can weave 'Harmony-Threads' and perform 'Echo-Calls'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two key components of Atlantean 'Tide-Weapons'?,"[""Atlantean 'Tide-Weapons' are forged with cores of 'Whirlpool-Ore' mined from oceanic maelstroms."", ""The Whirlpool-Ore is then enhanced with 'Current-Crystals' that channel the power of ocean streams."", ""Atlantean cities are built in underwater domes."", ""The Ocean-Guard protects Atlantean territories."", ""Tide-Weapons can control water in various forms."", ""Whirlpool-Ore exhibits natural rotational properties."", ""Atlantean smiths work in pressurized forges."", ""Current-Crystals glow with aquamarine light."", ""The Trident-Masters are elite Atlantean warriors."", ""Atlantean history spans over ten thousand years.""]","Atlantean 'Tide-Weapons' contain 'Whirlpool-Ore' and 'Current-Crystals'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two functions does the Mystic 'Dream-Weaver's Loom' perform?,"[""The Mystic 'Dream-Weaver's Loom' can capture and solidify 'Sleep-Visions' into physical dream-silk tapestries."", ""It also has the ability to 'Memory-Stitch', embedding specific recollections directly into the fabric."", ""Dream-Weavers are respected members of mystic society."", ""The Loom-Guild maintains ancient weaving traditions."", ""Dream-silk is softer than any natural fiber."", ""Sleep-Visions appear as ethereal images during the weaving process."", ""Mystic looms are powered by lunar energy."", ""Memory-Stitching requires deep meditative states."", ""The Grand Dream-Hall displays the finest tapestries."", ""Dream-Weavers often work during the deepest hours of night.""]","The Mystic 'Dream-Weaver's Loom' captures 'Sleep-Visions' and performs 'Memory-Stitching'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two primary elements used in Prismarian 'Light-Forging'?,"[""Prismarian 'Light-Forging' requires 'Rainbow-Essence' extracted from prismatic storms."", ""This Rainbow-Essence is then shaped using 'Photon-Hammers' that manipulate light as if it were solid matter."", ""Prismarian culture celebrates the spectrum of colors."", ""The Light-Smiths of Prismaria are legendary craftsmen."", ""Light-Forged items exhibit incredible luminosity."", ""Rainbow-Essence can be stored in crystal containers."", ""Prismarian apprentices learn color theory before forging."", ""Photon-Hammers are crafted from compressed starlight."", ""The Prism-City refracts sunlight into stunning displays."", ""Light-Forging techniques have been refined over millennia.""]","Prismarian 'Light-Forging' uses 'Rainbow-Essence' and 'Photon-Hammers'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two abilities are granted by Shadowmere 'Void-Cloaks'?,"[""Shadowmere 'Void-Cloaks' allow the wearer to 'Phase-Shift' partially out of physical reality."", ""Additionally, these cloaks enable 'Shadow-Meld', letting the user become one with existing darkness."", ""Shadowmere is a realm of perpetual twilight."", ""The Umbral-Weavers craft the finest shadow-garments."", ""Void-Cloaks are worn by elite Shadowmere agents."", ""Phase-Shifting creates a translucent, ghostly appearance."", ""The Shadow-Academy trains students in stealth arts."", ""Shadow-Melding makes detection nearly impossible."", ""Shadowmere politics involve complex schemes and alliances."", ""The Dark-Council governs from the Obsidian Throne.""]","Shadowmere 'Void-Cloaks' grant 'Phase-Shift' and 'Shadow-Meld' abilities.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What are the two core materials in Aerion 'Wind-Walker' boots?,"[""Aerion 'Wind-Walker' boots are crafted with soles made from 'Cloud-Leather' harvested from sky-dwelling creatures."", ""The boots are reinforced with 'Gust-Metal' strapping that channels atmospheric currents."", ""Aerion cities float among the clouds."", ""The Sky-Dancers of Aerion perform aerial ballets."", ""Wind-Walker boots allow limited flight capabilities."", ""Cloud-Leather is remarkably light yet durable."", ""Aerion culture emphasizes freedom and movement."", ""Gust-Metal resonates with wind patterns."", ""The Floating-Markets of Aerion trade in rare sky-goods."", ""Wind-Walker craftsmanship is a closely guarded art.""]","Aerion 'Wind-Walker' boots use 'Cloud-Leather' and 'Gust-Metal'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
What two functions does the Glacian 'Frost-Crown' serve?,"[""The Glacian 'Frost-Crown' can generate 'Ice-Shields' that form protective barriers around the wearer."", ""It also produces 'Blizzard-Pulses', concentrated bursts of freezing energy."", ""Glacian architecture incorporates natural ice formations."", ""The Ice-Palace of Glacia never melts."", ""Frost-Crowns are worn only by Glacian royalty."", ""Ice-Shields can deflect both physical and energy attacks."", ""Glacian society values endurance and resilience."", ""Blizzard-Pulses can freeze enemies solid."", ""The Eternal-Winter of Glacia has lasted for centuries."", ""Frost-Crown ceremonies are held during the coldest months.""]","The Glacian 'Frost-Crown' generates 'Ice-Shields' and produces 'Blizzard-Pulses'.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
