,question,context,answer,id
10,What are the topics of the books Sarah and Michael are reading?,"[""Sarah is reading a book about dragons."", ""Michael is reading a book about ancient castles."", ""The sun is shining brightly today."", ""My favorite color is blue."", ""Cars drive on the road."", ""Trees have green leaves in summer."", ""The cat is sleeping on the mat."", ""Birds can fly high in the sky."", ""Water is essential for life."", ""Computers are useful tools.""]",Sarah is reading about dragons and Michael is reading about ancient castles.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
11,Where did the family go on Saturday and what did they do?,"[""The family went to the beach on Saturday."", ""On Saturday at the beach, my family built a large sandcastle."", ""The train arrived at the station on time."", ""She enjoys listening to classical music."", ""The baker made fresh bread this morning."", ""Mountains are very tall."", ""The chef is preparing dinner in the kitchen."", ""He bought a new bicycle yesterday."", ""The moon is visible at night."", ""School starts at eight o'clock.""]",The family went to the beach on Saturday and built a large sandcastle.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
12,What colors did Alex use to paint his toy car?,"[""Alex painted his toy car bright red."", ""Alex used some yellow paint for the car's stripes."", ""The dog barked at the mailman."", ""Pencils are used for writing."", ""The farmer grows corn in the field."", ""She wore a warm scarf in the winter."", ""The river flows towards the sea."", ""He likes to play video games."", ""The library is a quiet place."", ""Stars twinkle in the night sky.""]",Alex painted his toy car bright red and used yellow for the stripes.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
13,What special abilities do the Gleepglorp and the Flumph from planet Xylar possess?,"[""The Gleepglorp from planet Xylar can manipulate Zylonic energy for teleportation."", ""A rare Flumph, also from Xylar, emits Quirkle Crystals that enhance its camouflage."", ""Many stories tell of brave Knorbols."", ""The Blargon festival happens every Floopy cycle."", ""Sky-skiffs are common transport in a Flibbertown."", ""Glimmering Floofel-dust is prized by artisans."", ""The wind chimes played a strange melody."", ""Old maps sometimes show imaginary lands."", ""The lunar cycle affects the tides of Blorb."", ""Not all portals lead to safe destinations.""]","The Gleepglorp can manipulate Zylonic energy for teleportation, and the Flumph emits Quirkle Crystals that enhance its camouflage.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
14,What distinct characteristics do elephants have?,"[""The elephant has large, floppy ears."", ""The elephant uses its long trunk to drink water."", ""Fish live in water."", ""The zookeeper feeds the lions."", ""Birds build nests in trees."", ""The cheetah is a very fast runner."", ""Butterflies have colorful wings."", ""The farmer keeps chickens for eggs."", ""Snakes can slither on the ground."", ""Whales are large marine mammals.""]","Elephants have large, floppy ears and use their long trunk to drink water.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
15,What are the key ingredients needed for a cake recipe?,"[""To make a cake, you need flour and sugar."", ""You will need eggs and butter for a cake recipe."", ""Pizza is a popular dish."", ""He eats an apple every day."", ""The restaurant serves delicious pasta."", ""Oranges are a good source of Vitamin C."", ""She is making a shopping list."", ""The grocery store is open until 9 PM."", ""He prefers tea over coffee."", ""Vegetables are healthy to eat.""]","The key ingredients for a cake are flour, sugar, eggs, and butter.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
16,Which tools does a carpenter use and what are their stated purposes?,"[""The carpenter uses a hammer to drive nails."", ""The carpenter uses a saw to cut wood."", ""The doctor works at the hospital."", ""Teachers help students learn new things."", ""The firefighter wears a special uniform."", ""Musicians play instruments."", ""The pilot flies an airplane."", ""A writer creates stories."", ""The scientist conducts experiments."", ""An artist paints beautiful pictures.""]",A carpenter uses a hammer to drive nails and a saw to cut wood.,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
17,Where are the Orb of Zinthar and the Scepter of Mydor believed to be located?,"[""The Orb of Zinthar is hidden deep within the treacherous Whispering Peaks."", ""Legends say the Scepter of Mydor lies guarded in the Sunken City of Aerilon."", ""Grelnockers often search for lost trinkets."", ""The ancient texts of Ploorf are hard to decipher."", ""Many adventurers seek the Crystal Caves of Nom."", ""A good Vorpal blade is sharp and reliable."", ""The air was thick with an unknown scent."", ""Strange symbols were carved into the stone door."", ""The old kingdom of Eldoria had many secrets."", ""Not every shining gem holds magical power.""]","The Orb of Zinthar is hidden in the Whispering Peaks, and the Scepter of Mydor is in the Sunken City of Aerilon.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
18,What are the roles or professions of Elara Vayne and Jax Korden?,"[""Elara Vayne is the chief Star-Navigator of the starship 'Wanderer'."", ""Jax Korden serves as the primary Rift-Warden protecting the Chronos Gate."", ""The Council of Elders will meet at moonhigh."", ""Zorpian ale is a popular drink in the Outer Rim."", ""Many young Squibs dream of joining the Sky Guard."", ""The markets of Xylos offer exotic goods."", ""He wore the insignia of a forgotten legion."", ""She hummed a tune from an old space shanty."", ""The prophecy spoke of a chosen Zoodle."", ""Learning the ancient Floopy tongue is difficult.""]","Elara Vayne is the chief Star-Navigator of the starship 'Wanderer', and Jax Korden is the primary Rift-Warden protecting the Chronos Gate.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
19,What are the primary uses described for the 'Chrono-Modulator' or for the 'Bio-Harmonizer'?,"[""The 'Chrono-Modulator' device is primarily used to create temporary Reality Stabilizers in unstable zones."", ""A 'Bio-Harmonizer' implant allows for direct Neural Augmentation, improving cognitive functions."", ""Flux capacitors require careful calibration."", ""The energy cells of a Plinkerton device last for eons."", ""Not all teleportation devices are safe for organic matter."", ""The main reactor of the Narflax is offline."", ""Repairing a Zylothian hyperdrive is complex."", ""Data-crystals can store vast amounts of information."", ""The universal translator sometimes makes comical errors."", ""Shield generators protect against space debris and Floopy rays.""]","The 'Chrono-Modulator' is used to create temporary Reality Stabilizers, and the 'Bio-Harmonizer' allows for Neural Augmentation.","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J']"
